method,family,dim,bytes_per_embedding,compression,spearman
RandRot-192-s3 topm-64,Random rotation top-m int8,192,192,8.0,0.8561168506018528
RandRot-192-s3 topm-96,Random rotation top-m int8,192,288,5.333333333333333,0.8622289384497631
RandRot-192-s3 topm-128,Random rotation top-m int8,192,384,4.0,0.8651139368820123
RandRot-192-s4 topm-4,Random rotation top-m int8,192,12,128.0,0.6089701064730192
RandRot-192-s4 topm-8,Random rotation top-m int8,192,24,64.0,0.7378275881663964
RandRot-192-s4 topm-12,Random rotation top-m int8,192,36,42.666666666666664,0.7703553889812542
RandRot-192-s4 topm-16,Random rotation top-m int8,192,48,32.0,0.7906707853256836
RandRot-192-s4 topm-24,Random rotation top-m int8,192,72,21.333333333333332,0.8183962857389694
RandRot-192-s4 topm-32,Random rotation top-m int8,192,96,16.0,0.8277269199776301
RandRot-192-s4 topm-48,Random rotation top-m int8,192,144,10.666666666666666,0.8443259349915064
RandRot-192-s4 topm-64,Random rotation top-m int8,192,192,8.0,0.8547024047858709
RandRot-192-s4 topm-96,Random rotation top-m int8,192,288,5.333333333333333,0.863407535226328
RandRot-192-s4 topm-128,Random rotation top-m int8,192,384,4.0,0.8657677131339022
RandRot-192-s5 topm-4,Random rotation top-m int8,192,12,128.0,0.6472284387881109
RandRot-192-s5 topm-8,Random rotation top-m int8,192,24,64.0,0.7457657773038943
RandRot-192-s5 topm-12,Random rotation top-m int8,192,36,42.666666666666664,0.7850601049342418
RandRot-192-s5 topm-16,Random rotation top-m int8,192,48,32.0,0.8051348918731209
RandRot-192-s5 topm-24,Random rotation top-m int8,192,72,21.333333333333332,0.8284586446554408
RandRot-192-s5 topm-32,Random rotation top-m int8,192,96,16.0,0.8388695575605216
RandRot-192-s5 topm-48,Random rotation top-m int8,192,144,10.666666666666666,0.8506440674655961
RandRot-192-s5 topm-64,Random rotation top-m int8,192,192,8.0,0.8556767524333677
RandRot-192-s5 topm-96,Random rotation top-m int8,192,288,5.333333333333333,0.8640068987514854
RandRot-192-s5 topm-128,Random rotation top-m int8,192,384,4.0,0.8659605424484703
PCA-256 float32,PCA float32,256,1024,1.5,0.8686645585494162
PCA-256 int8 dense,PCA int8 dense,256,256,6.0,0.8685365744753277
PCA-256 topm-4,PCA top-m int8,256,12,128.0,0.5658192996371573
PCA-256 topm-8,PCA top-m int8,256,24,64.0,0.6623344047221367
PCA-256 topm-12,PCA top-m int8,256,36,42.666666666666664,0.7163285479145944
PCA-256 topm-16,PCA top-m int8,256,48,32.0,0.750722283305899
PCA-256 topm-24,PCA top-m int8,256,72,21.333333333333332,0.7899510334921506
PCA-256 topm-32,PCA top-m int8,256,96,16.0,0.8100322743144089
PCA-256 topm-48,PCA top-m int8,256,144,10.666666666666666,0.8386712940785023
PCA-256 topm-64,PCA top-m int8,256,192,8.0,0.8511620696024342
